,index,상호지점명,업종분류,위도,경도,리뷰,Text,Text_token
0,0,트멍농수산 ,일식 수산물 음식점-일식,33.3455146233418,126.853037156363,,트멍농수산 일식 수산물 음식점-일식 ,"['트멍', '농수산', '일식', '수산물', '음식점', '일식']"
1,1,부전식당 ,한식 한식 백반 한정식,33.4628846008632,126.933313791534,     제주도여행 다섯째날 하우목동항  성산포항  섭지코지  섭지 해녀의 집  광치기해변  한라흑돼지식당 우도에서의 꿈 같은 이틀이 지나가고 벌써 떠나는 날 아침 ㅜ 파도가 심해 배가 뜰지 말지 어느 항구로 뜰지 시 반에 발표가 된다고 해서 펜션 사장님은 아침부터 안절부절 못하고 계셨다 오히려 나는 아무렇지도 않음ㅋㅋ 시가 좀 지나서 하우목동항으로 사장님 차를 타고 출발 차 타고 가니 역시 분 정도 밖에 안 걸렸다 ㅋ 천진항은 어제에 이어 오늘도 배가 안 뜬다고 처음 성산포항에서 배 탈 때 승선신고서를 장 미리 써놓은게 있었으므로 매표소에서는 금방 표를 끊을 수 있었다 마침 항구에 배가 들어와 있었으므로 얼른부전식당 제주특별자치도 서귀포시 성산읍 성산리  해바라기 게스트하우스 제주특별자치도 서귀포시 성산읍 성산리  지인이가 대외활동 차서류심사에서 합격했다 결국 오늘 면접을 봐야하므로 지인이는 서울에 갔다가 다시 저녁에 오기로했다 비도 오고 하니 나는 원래 묵고있던 에서 쉬기로했다 비 안오면 성산일출봉 올라가보고 싶었는데 아쉽다ㅠㅠ 어제 블로그를 쓰다가 늦게 잔 나머지 오늘도 난 지인이보다 훨씬 늦게 일어났다 아침식사 되는 식당을 찾아 고양이세수를 하고 밖에 나갔다 원래 가려던 식당이 문을 닫아 예상보다 좀더 멀리갔다 우리가 들어간 식당은 갈치조림 고등어조림 굴국밥등을 파는 곳이다 우리는 우거지해장국이랑 돌솥비빔밥을 시켰다 각각 원이다,부전식당 한식 한식 백반 한정식      제주도여행 다섯째날 하우목동항  성산포항  섭지코지  섭지 해녀의 집  광치기해변  한라흑돼지식당 우도에서의 꿈 같은 이틀이 지나가고 벌써 떠나는 날 아침 ㅜ 파도가 심해 배가 뜰지 말지 어느 항구로 뜰지 시 반에 발표가 된다고 해서 펜션 사장님은 아침부터 안절부절 못하고 계셨다 오히려 나는 아무렇지도 않음ㅋㅋ 시가 좀 지나서 하우목동항으로 사장님 차를 타고 출발 차 타고 가니 역시 분 정도 밖에 안 걸렸다 ㅋ 천진항은 어제에 이어 오늘도 배가 안 뜬다고 처음 성산포항에서 배 탈 때 승선신고서를 장 미리 써놓은게 있었으므로 매표소에서는 금방 표를 끊을 수 있었다 마침 항구에 배가 들어와 있었으므로 얼른부전식당 제주특별자치도 서귀포시 성산읍 성산리  해바라기 게스트하우스 제주특별자치도 서귀포시 성산읍 성산리  지인이가 대외활동 차서류심사에서 합격했다 결국 오늘 면접을 봐야하므로 지인이는 서울에 갔다가 다시 저녁에 오기로했다 비도 오고 하니 나는 원래 묵고있던 에서 쉬기로했다 비 안오면 성산일출봉 올라가보고 싶었는데 아쉽다ㅠㅠ 어제 블로그를 쓰다가 늦게 잔 나머지 오늘도 난 지인이보다 훨씬 늦게 일어났다 아침식사 되는 식당을 찾아 고양이세수를 하고 밖에 나갔다 원래 가려던 식당이 문을 닫아 예상보다 좀더 멀리갔다 우리가 들어간 식당은 갈치조림 고등어조림 굴국밥등을 파는 곳이다 우리는 우거지해장국이랑 돌솥비빔밥을 시켰다 각각 원이다,"['부전', '식당', '한식', '한식', '백반', '한정식', '여행', '목동', '포항', '섭지코지', '해녀', '치기', '해변', '한라', '돼지', '식당', '우도', '같다', '벌써', '아침', '파도', '심해', '항구', '발표', '펜션', '사장', '아침', '오히려', '아무렇다', '시가', '목동', '사장', '타고', '타고', '역시', '정도', '천진항', '처음', '포항', '승선', '고서', '미리', '매표소', '금방', '마침', '항구', '얼른', '부전', '식당', '해바라기', '게스트하우스', '지인', '대외', '활동', '서류', '심사', '합격', '면접', '지인', '서울', '다시', '저녁', '오기', '비도', '하니', '원래', '성산일출봉', '보고', '아쉽다', '블로그', '나머지', '지인', '아침식사', '식당', '고양이', '세수', '원래', '식당', '예상', '좀더', '멀리', '식당', '갈치', '조림', '고등어', '조림', '굴국밥', '우거지', '해장국', '돌솥비빔밥', '각각']"
2,2,케잌나라 ,제과제빵떡케익 제과점,33.4499416848383,126.915133725321,월 일 금요일 여행 일차 제주도에서 제가 가장 좋아하는 우도 갑니다 꺄  시 배타고 출발  저희는 스쿠터말고 전기자전거를 대여했어요 가격은 대당 만원 걸리버여행기에서 예약했어유 천진항에 도착하면 바로 보일거에요 전기자전거는 처음 타봤는데 힘 하나도 안들고 너무 잘 나갔어요 ㅎㅅㅎ 그치만 더 좋은건 스쿠터   온오프 온오프 제주특별자치도 제주시 우도면 우도해안길  메뉴판 내부 도착하자마자 온오프로  자전거 타면서 찾느라 힘둘었슴둥ㅎ 흑돼지 치즈 돈까스 흑돼지돈까스 맛은 진짜 맛있었어요  가격만 저렴했다면 별 다섯개 소스도 맛있었고 돈까스도 부드러웠어욤 온오프옆에서 찰칵  앞에는 바다뷰  또가고싶 우도 수국길 전기렌트카 바로 옆에,케잌나라 제과제빵떡케익 제과점 월 일 금요일 여행 일차 제주도에서 제가 가장 좋아하는 우도 갑니다 꺄  시 배타고 출발  저희는 스쿠터말고 전기자전거를 대여했어요 가격은 대당 만원 걸리버여행기에서 예약했어유 천진항에 도착하면 바로 보일거에요 전기자전거는 처음 타봤는데 힘 하나도 안들고 너무 잘 나갔어요 ㅎㅅㅎ 그치만 더 좋은건 스쿠터   온오프 온오프 제주특별자치도 제주시 우도면 우도해안길  메뉴판 내부 도착하자마자 온오프로  자전거 타면서 찾느라 힘둘었슴둥ㅎ 흑돼지 치즈 돈까스 흑돼지돈까스 맛은 진짜 맛있었어요  가격만 저렴했다면 별 다섯개 소스도 맛있었고 돈까스도 부드러웠어욤 온오프옆에서 찰칵  앞에는 바다뷰  또가고싶 우도 수국길 전기렌트카 바로 옆에,"['케잌', '제과제빵', '케익', '제과점', '여행', '일차', '가장', '좋아하다', '우도', '배타', '저희', '스쿠터', '전기자전거', '대여', '가격', '대당', '만원', '걸리버', '여행기', '예약', '어유', '천진항', '바로', '전기자전거', '처음', '하나', '좋다', '스쿠터', '오프', '오프', '우도면', '우도', '메뉴판', '내부', '자마자', '프로', '자전거', '힘둘었슴둥', '돼지', '치즈', '돈까스', '돼지', '돈까스', '진짜', '맛있다', '가격', '저렴하다', '소스', '맛있다', '돈까스', '부드럽다', '오프', '바다', '우도', '수국', '전기', '렌트카', '바로']"
3,3,유림 ,유흥주점 룸살롱 단란주점,33.4490505875453,126.916338693723,,유림 유흥주점 룸살롱 단란주점 ,"['유림', '유흥주점', '룸살롱', '단란주점']"
4,4,옹심깍두기 ,한식 한식 백반 한정식,33.4457466962842,126.913830793902,,옹심깍두기 한식 한식 백반 한정식 ,"['옹심', '깍두기', '한식', '한식', '백반', '한정식']"
5,5,케익나라 ,제과제빵떡케익 제과점,33.4499416848383,126.915133725321,월 일 금요일 여행 일차 제주도에서 제가 가장 좋아하는 우도 갑니다 꺄  시 배타고 출발  저희는 스쿠터말고 전기자전거를 대여했어요 가격은 대당 만원 걸리버여행기에서 예약했어유 천진항에 도착하면 바로 보일거에요 전기자전거는 처음 타봤는데 힘 하나도 안들고 너무 잘 나갔어요 ㅎㅅㅎ 그치만 더 좋은건 스쿠터   온오프 온오프 제주특별자치도 제주시 우도면 우도해안길  메뉴판 내부 도착하자마자 온오프로  자전거 타면서 찾느라 힘둘었슴둥ㅎ 흑돼지 치즈 돈까스 흑돼지돈까스 맛은 진짜 맛있었어요  가격만 저렴했다면 별 다섯개 소스도 맛있었고 돈까스도 부드러웠어욤 온오프옆에서 찰칵  앞에는 바다뷰  또가고싶 우도 수국길 전기렌트카 바로 옆에,케익나라 제과제빵떡케익 제과점 월 일 금요일 여행 일차 제주도에서 제가 가장 좋아하는 우도 갑니다 꺄  시 배타고 출발  저희는 스쿠터말고 전기자전거를 대여했어요 가격은 대당 만원 걸리버여행기에서 예약했어유 천진항에 도착하면 바로 보일거에요 전기자전거는 처음 타봤는데 힘 하나도 안들고 너무 잘 나갔어요 ㅎㅅㅎ 그치만 더 좋은건 스쿠터   온오프 온오프 제주특별자치도 제주시 우도면 우도해안길  메뉴판 내부 도착하자마자 온오프로  자전거 타면서 찾느라 힘둘었슴둥ㅎ 흑돼지 치즈 돈까스 흑돼지돈까스 맛은 진짜 맛있었어요  가격만 저렴했다면 별 다섯개 소스도 맛있었고 돈까스도 부드러웠어욤 온오프옆에서 찰칵  앞에는 바다뷰  또가고싶 우도 수국길 전기렌트카 바로 옆에,"['케익', '제과제빵', '케익', '제과점', '여행', '일차', '가장', '좋아하다', '우도', '배타', '저희', '스쿠터', '전기자전거', '대여', '가격', '대당', '만원', '걸리버', '여행기', '예약', '어유', '천진항', '바로', '전기자전거', '처음', '하나', '좋다', '스쿠터', '오프', '오프', '우도면', '우도', '메뉴판', '내부', '자마자', '프로', '자전거', '힘둘었슴둥', '돼지', '치즈', '돈까스', '돼지', '돈까스', '진짜', '맛있다', '가격', '저렴하다', '소스', '맛있다', '돈까스', '부드럽다', '오프', '바다', '우도', '수국', '전기', '렌트카', '바로']"
6,6,달래식당 ,한식 한식 백반 한정식,33.4688811313292,126.920890052067,요즈음 여행하기 너무나 좋은 날씨 이럴때 우리 제주도 한번 가셔야죠 이미 제주도 여행을 생각하시고 예약을 하신분들도 계시고 아마 지금 제주도에 계시는분들도 있을꺼에요 너무나 부럽당 오늘은 우리 잇님들께 제주도에 가면 꼭 드셔보시라고 권하고 싶은 맛집 통갈치구이 맛집 성산달래식당 소개할게요 저 얼마전에 제주도에 다녀왔지만 제주도는 갈때마다 새로운곳 같은데요 통갈치구이맛집으로 유명한 성산달래식당은 저번이 처음이었는데 그때 먹은 갈치구이가 아주아주 그립더라구요 성산일출봉맛집 성산달래식당의 주메뉴는 통갈치구이세트에 모듬생선구이가 핫하고 유명한데 물론 모듬물회도 있고 단품메뉴도 함께 하고 있어요 모듬생선구이 인부터 원 통갈치구요즈음 날씨가 너무나 좋아져서 제주도 여행길에 오르시는분 많으시죠 그래서 오늘은 제가 다녀온 제주도 맛집 제주 성산 통갈치구이 맛집 성산달래식당 다녀온 후기와 함께 할게요 제주도 하면 우리 잇님들 생선 무시못하죠 저번에 갔을때는 제가 맛집 위주로 플랜을짜서 다녀왔기 때문에 일부러 제주 성산 통갈치구이 맛집 성산달래식당을 다녀왔어요 제주도에 맛집이 어마어마하게 많지만 여기는 여기 나름대로의 매력이 철철 넘치는 공간으로 혹시 우리 잇님들께서도 생선좋아하시는 분들이라면 함께 해보시라구요 성산하면 여기가 맛집이기 때문에 이쪽으로 여행을 오시는분들은 많이들 찾는곳이 성산달래식당이라고 하는데요 메뉴부터 아주 핫해서 저 역시 어떤걸 먹을까 행복한 고민을 했었답니다정성가득 성산 생선구이 맛집 성산달래식당 주소 제주 서귀포시 성산읍 금백조로  영업시간  매일    매월째주 목요일 휴무 전화번호  안녕하세요 제인이예요 주말내내 뉴스에 제주도에 강풍으로 인한 피해소식에 인스타 피드 속에서도 바람으로 제주도에 착륙도 못하고 하늘에서만 돌다가 돌아온 분들도 몇몇 계시더라구요 이제 따뜻해지고 있으니 제주도를 찾는 분들이 더욱 많아지실 것 같은데 그래서 제가 제주도 생선구이 맛집을 소개하러 이렇게 오랜만에 찾아왔어요 제주도 성산에 위치한 식당으로 제주도하면 흑돼지도 유명하지만 그래도 생선구이나 갈치구이도 꼭 한번 먹어줘야 하잖아요 저는 제주도에 가면 생선구이는 꼭 빼놓지 않고 먹게되더라구요,달래식당 한식 한식 백반 한정식 요즈음 여행하기 너무나 좋은 날씨 이럴때 우리 제주도 한번 가셔야죠 이미 제주도 여행을 생각하시고 예약을 하신분들도 계시고 아마 지금 제주도에 계시는분들도 있을꺼에요 너무나 부럽당 오늘은 우리 잇님들께 제주도에 가면 꼭 드셔보시라고 권하고 싶은 맛집 통갈치구이 맛집 성산달래식당 소개할게요 저 얼마전에 제주도에 다녀왔지만 제주도는 갈때마다 새로운곳 같은데요 통갈치구이맛집으로 유명한 성산달래식당은 저번이 처음이었는데 그때 먹은 갈치구이가 아주아주 그립더라구요 성산일출봉맛집 성산달래식당의 주메뉴는 통갈치구이세트에 모듬생선구이가 핫하고 유명한데 물론 모듬물회도 있고 단품메뉴도 함께 하고 있어요 모듬생선구이 인부터 원 통갈치구요즈음 날씨가 너무나 좋아져서 제주도 여행길에 오르시는분 많으시죠 그래서 오늘은 제가 다녀온 제주도 맛집 제주 성산 통갈치구이 맛집 성산달래식당 다녀온 후기와 함께 할게요 제주도 하면 우리 잇님들 생선 무시못하죠 저번에 갔을때는 제가 맛집 위주로 플랜을짜서 다녀왔기 때문에 일부러 제주 성산 통갈치구이 맛집 성산달래식당을 다녀왔어요 제주도에 맛집이 어마어마하게 많지만 여기는 여기 나름대로의 매력이 철철 넘치는 공간으로 혹시 우리 잇님들께서도 생선좋아하시는 분들이라면 함께 해보시라구요 성산하면 여기가 맛집이기 때문에 이쪽으로 여행을 오시는분들은 많이들 찾는곳이 성산달래식당이라고 하는데요 메뉴부터 아주 핫해서 저 역시 어떤걸 먹을까 행복한 고민을 했었답니다정성가득 성산 생선구이 맛집 성산달래식당 주소 제주 서귀포시 성산읍 금백조로  영업시간  매일    매월째주 목요일 휴무 전화번호  안녕하세요 제인이예요 주말내내 뉴스에 제주도에 강풍으로 인한 피해소식에 인스타 피드 속에서도 바람으로 제주도에 착륙도 못하고 하늘에서만 돌다가 돌아온 분들도 몇몇 계시더라구요 이제 따뜻해지고 있으니 제주도를 찾는 분들이 더욱 많아지실 것 같은데 그래서 제가 제주도 생선구이 맛집을 소개하러 이렇게 오랜만에 찾아왔어요 제주도 성산에 위치한 식당으로 제주도하면 흑돼지도 유명하지만 그래도 생선구이나 갈치구이도 꼭 한번 먹어줘야 하잖아요 저는 제주도에 가면 생선구이는 꼭 빼놓지 않고 먹게되더라구요,"['달래', '식당', '한식', '한식', '백반', '한정식', '요즈음', '여행', '좋다', '날씨', '한번', '여행', '생각', '예약', '신분', '계시', '아마', '지금', '부럽다', '잇님들', '가면', '보시', '맛집', '갈치', '구이', '맛집', '달래', '식당', '소개', '얼마', '새롭다', '같다', '갈치', '맛집', '유명하다', '산달', '식당', '저번', '처음', '그때', '갈치', '구이', '성산일출봉', '맛집', '산달', '식당', '메뉴', '갈치', '세트', '생선', '구이', '유명하다', '물회', '메뉴', '생선', '구이', '갈치', '요즈음', '날씨', '여행', '많다', '맛집', '갈치', '구이', '맛집', '달래', '식당', '후기', '잇님들', '생선', '저번', '맛집', '위주', '플랜', '때문', '일부러', '갈치', '구이', '맛집', '산달', '식당', '맛집', '어마어마하다', '많다', '여기', '나름', '매력', '철철', '넘치다', '공간', '혹시', '생선', '좋아하다', '여기', '맛집', '이기', '때문', '여행', '오시', '산달', '식당', '메뉴', '아주', '역시', '행복하다', '고민', '정성', '가득', '생선', '구이', '맛집', '달래', '식당', '주소', '조로', '영업', '시간', '매일', '매월', '목요일', '휴무', '전화번호', '안녕하다', '제인', '주말', '내내', '뉴스', '강풍', '인하다', '피해', '소식', '인스타', '피드', '바람', '착륙', '하늘', '몇몇', '이제', '따뜻하다', '더욱', '같다', '생선', '구이', '맛집', '소개', '위치', '식당', '돼지', '유명하다', '생선', '이나', '갈치', '구이', '한번', '가면', '생선', '구이']"
7,7,슬로우커피방듸 ,커피점 카페 커피전문점 카페 다방,33.4380215217252,126.921272220066,요즘 저노는언니 놀이중이예요 제가 생각하기에도 너무 잘 노는듯 전부터 팥빙수 타령을하길래 퇴근길에 깜짝 납치해서 팥빙수 집에 딱 데리고오니까 어리둥절하네요 분명히 사진찍을꺼 같으니까 유니폼 입고 나왔다가 차안에서 급히 옷갈아 입은 란이 곧바로 집에 갈줄알았대요 오늘 조금 힘들어 보여서 달달한거 먹이고 싶었는데 팥빙수에 팥은 안먹고 과일만 골라 먹네요 섭치코지 근처 방듸라는 카페인데요 일층에서 과일빙수 주문하고 이층으로 올라가니 일출봉도 보이고 아기자기하니 이쁘네요 달달하고 시원하고 후레쉬한 과일빙수 맛있게 먹었어요 올해 처음으로 팥빙수 먹었어요  방듸 먹었어요 과일빙수 팥빙수인기메뉴 유자타르트 를 포함한 모둠타르트 가 나왔어요 제철이 지나 딸기타르트를 못만들어 아쉽지만ㅠㅜㅠ 나머지 다른 과일들이 여름을 책임져줄껍니다 조각 또는 원판 판매되고있으니 어서 맛보러오셔요,슬로우커피방듸 커피점 카페 커피전문점 카페 다방 요즘 저노는언니 놀이중이예요 제가 생각하기에도 너무 잘 노는듯 전부터 팥빙수 타령을하길래 퇴근길에 깜짝 납치해서 팥빙수 집에 딱 데리고오니까 어리둥절하네요 분명히 사진찍을꺼 같으니까 유니폼 입고 나왔다가 차안에서 급히 옷갈아 입은 란이 곧바로 집에 갈줄알았대요 오늘 조금 힘들어 보여서 달달한거 먹이고 싶었는데 팥빙수에 팥은 안먹고 과일만 골라 먹네요 섭치코지 근처 방듸라는 카페인데요 일층에서 과일빙수 주문하고 이층으로 올라가니 일출봉도 보이고 아기자기하니 이쁘네요 달달하고 시원하고 후레쉬한 과일빙수 맛있게 먹었어요 올해 처음으로 팥빙수 먹었어요  방듸 먹었어요 과일빙수 팥빙수인기메뉴 유자타르트 를 포함한 모둠타르트 가 나왔어요 제철이 지나 딸기타르트를 못만들어 아쉽지만ㅠㅜㅠ 나머지 다른 과일들이 여름을 책임져줄껍니다 조각 또는 원판 판매되고있으니 어서 맛보러오셔요,"['슬로우', '커피', '방듸', '커피점', '카페', '커피전문점', '카페', '다방', '요즘', '노는언니', '놀이', '중이', '생각', '팥빙수', '타령', '퇴근길', '깜짝', '납치', '팥빙수', '어리둥절하다', '분명하다', '사진', '같다', '유니폼', '차안', '급하다', '곧바로', '대요', '조금', '힘들다', '달달', '먹이', '팥빙수', '과일', '치코', '근처', '방듸', '카페', '과일', '빙수', '주문', '일출봉', '보이', '아기자기하다', '이쁘다', '달달', '시원하다', '레쉬', '과일', '빙수', '맛있다', '올해', '처음', '팥빙수', '방듸', '과일', '빙수', '팥빙수', '인기', '메뉴', '유자', '타르트', '포함', '타르트', '제철', '지나', '딸기', '타르트', '아쉽다', '나머지', '다른', '과일', '여름', '껍니', '조각', '원판', '판매', '어서']"
8,8,그리운바다성산포식당 ,일식 수산물 횟집,33.4698266088937,126.930108870226,안녕하세요 골도르입니다 이번에 제주도 여행 시 숙소 다음으로 중요한 제주도 맛집에 대해서 알아보겠습니다 현재 제주도는 유채꽃과 청보리 홍가시나무 등 한창인데요 여유롭게 풍경과 봄 날씨를 즐기러 제주도 여행을 떠나는 분들이 많을 거라 생각합니다 하지만 금강산도 식후경이라고 식사가 정말 중요합니다 그러므로 제주도 맛집 검색은 필수입니다 그래서 제가 여러분들의 시간 절약을 위해 제주 맛집 베스트 을 준비했습니다 보시고 참고하시길 바랍니다  숙성도 제주도 숙성도는 노형점 함덕점 중문점에 위치해 있습니다 곳 모두 아주 맛있으며 저는 제주도에 가면 항상 들리는 곳입니다 인기가 많아서 웨이팅이 있지만 그래도 기다린 보람이 있을 정도로 아주 맛있는 식당입니다 제주 현지인도 정말 인정한 곳이기도 합니다 제주도 흑돼지 맛집 추천 제주도 맛집  숙성도 노형점 제주도 맛집 숙성도 중문점 제주도 맛집숙성도 함덕점 숙성도 영업시간 매일  안녕하세요 노디입니다 제주 이틀차 맛집 포스팅하려고 다시 왔습니다 헤헷 글 쓰면서 보니까 또 배고파지네요 이번에도 밥도둑 리뷰입니다 그리운바다 성산포 제주 고등어 갈치 맛집 촬영을 한참하고 배가 고파서 아사하기 직전쯤 피디님께서 고등어 갈치 맛집인 그리운바다 성산포로 인도해주셨어요 회센터에서 직접 공수해온 문어숙회와 함께 갈치조림과 고등어구이를 먹었는데 아 한라산 이건 못참지 활어회센터에서 공수한 문어 숙회 뒤에 게장 본격적으로 메뉴가 나오기 전부터 한라산과 문어숙회 등장에 스텝들 테이블이 웅성웅성거리기 시작했습니다 다들 눈에 살짝 광기가 도는 듯 했어요 문어숙회가 입에서 살살 녹아서 마음 같아서는 한라산을 얼큰하게 한사바리 들이켜고 싶었지만 저는 얼굴이 금세 빨개지는 사람이제주여행성산우도 배타기 전 먹으면 좋은 그리운바다 성산포 해물 뚝배기 성산항으로 이동하던 중 아침밥을 먹지 못하였기에 밥을 먹고 우도가는 배를 타야 했다 주변에서 어떤거 먹을 까 고민하던 찰나 메뉴는 해물뚝배기를 먹으려고 하였는데 거의 다비슷비슷 한 것을 팔고 있었다 문 앞에서 들어오라고 이야기 하던 분 따라 들어감 맛이 없으면 팔지 않는다며 이야기 하시던 주인분 ㅎㅎ 그리운바다 성산포 전화번호  주소 제주 서귀포시 성산읍 성산등용로  찾아가는길 우도로 들어가는 성산포항 방향으로 들어오시다보면 우측에 보여요 영업시간 평일 휴무 매주 화요일 홈페이지  전복해물뚝배기 탕을 먹으러 들어갔,그리운바다성산포식당 일식 수산물 횟집 안녕하세요 골도르입니다 이번에 제주도 여행 시 숙소 다음으로 중요한 제주도 맛집에 대해서 알아보겠습니다 현재 제주도는 유채꽃과 청보리 홍가시나무 등 한창인데요 여유롭게 풍경과 봄 날씨를 즐기러 제주도 여행을 떠나는 분들이 많을 거라 생각합니다 하지만 금강산도 식후경이라고 식사가 정말 중요합니다 그러므로 제주도 맛집 검색은 필수입니다 그래서 제가 여러분들의 시간 절약을 위해 제주 맛집 베스트 을 준비했습니다 보시고 참고하시길 바랍니다  숙성도 제주도 숙성도는 노형점 함덕점 중문점에 위치해 있습니다 곳 모두 아주 맛있으며 저는 제주도에 가면 항상 들리는 곳입니다 인기가 많아서 웨이팅이 있지만 그래도 기다린 보람이 있을 정도로 아주 맛있는 식당입니다 제주 현지인도 정말 인정한 곳이기도 합니다 제주도 흑돼지 맛집 추천 제주도 맛집  숙성도 노형점 제주도 맛집 숙성도 중문점 제주도 맛집숙성도 함덕점 숙성도 영업시간 매일  안녕하세요 노디입니다 제주 이틀차 맛집 포스팅하려고 다시 왔습니다 헤헷 글 쓰면서 보니까 또 배고파지네요 이번에도 밥도둑 리뷰입니다 그리운바다 성산포 제주 고등어 갈치 맛집 촬영을 한참하고 배가 고파서 아사하기 직전쯤 피디님께서 고등어 갈치 맛집인 그리운바다 성산포로 인도해주셨어요 회센터에서 직접 공수해온 문어숙회와 함께 갈치조림과 고등어구이를 먹었는데 아 한라산 이건 못참지 활어회센터에서 공수한 문어 숙회 뒤에 게장 본격적으로 메뉴가 나오기 전부터 한라산과 문어숙회 등장에 스텝들 테이블이 웅성웅성거리기 시작했습니다 다들 눈에 살짝 광기가 도는 듯 했어요 문어숙회가 입에서 살살 녹아서 마음 같아서는 한라산을 얼큰하게 한사바리 들이켜고 싶었지만 저는 얼굴이 금세 빨개지는 사람이제주여행성산우도 배타기 전 먹으면 좋은 그리운바다 성산포 해물 뚝배기 성산항으로 이동하던 중 아침밥을 먹지 못하였기에 밥을 먹고 우도가는 배를 타야 했다 주변에서 어떤거 먹을 까 고민하던 찰나 메뉴는 해물뚝배기를 먹으려고 하였는데 거의 다비슷비슷 한 것을 팔고 있었다 문 앞에서 들어오라고 이야기 하던 분 따라 들어감 맛이 없으면 팔지 않는다며 이야기 하시던 주인분 ㅎㅎ 그리운바다 성산포 전화번호  주소 제주 서귀포시 성산읍 성산등용로  찾아가는길 우도로 들어가는 성산포항 방향으로 들어오시다보면 우측에 보여요 영업시간 평일 휴무 매주 화요일 홈페이지  전복해물뚝배기 탕을 먹으러 들어갔,"['그립다', '바다', '성산포', '식당', '일식', '수산물', '횟집', '안녕하다', '이번', '여행', '숙소', '다음', '중요하다', '맛집', '대해', '현재', '유채꽃', '청보리', '홍가시나무', '한창', '풍경', '날씨', '여행', '많다', '생각', '금강산', '후경', '식사', '정말', '중요하다', '맛집', '검색', '필수', '여러분', '시간', '절약', '위해', '맛집', '베스트', '준비', '보시', '참고', '숙성', '숙성', '함덕', '중문', '위치', '모두', '아주', '맛있다', '가면', '항상', '인기', '많다', '웨이팅', '보람', '정도', '아주', '맛있다', '식당', '현지', '인도', '정말', '인정', '돼지', '맛집', '추천', '맛집', '숙성', '맛집', '숙성', '중문', '맛집', '숙성', '함덕', '숙성', '영업', '시간', '매일', '안녕하다', '맛집', '포스팅', '다시', '배고프다', '이번', '도둑', '리뷰', '그립다', '바다', '성산포', '고등어', '갈치', '맛집', '촬영', '한참', '고프다', '아사', '직전', '피디', '고등어', '갈치', '맛집', '그립다', '바다', '성산포', '인도', '센터', '직접', '공수', '문어숙회', '갈치', '조림', '고등', '어구', '한라산', '활어회', '센터', '공수', '문어', '숙회', '게장', '본격', '메뉴', '한라산', '문어', '숙회', '등장', '스텝', '테이블', '시작', '살짝', '광기', '문어숙회', '살살', '마음', '같다', '한라산', '얼큰하다', '바리', '얼굴', '금세', '빨갛다', '사람', '여행', '우도', '배타', '좋다', '그립다', '바다', '성산포', '해물', '뚝배기', '이동', '아침밥', '우도', '주변', '고민', '찰나', '메뉴', '해물뚝배기', '거의', '다비', '슷비슷', '팔고', '이야기', '없다', '팔지', '이야기', '주인', '그립다', '바다', '성산포', '전화번호', '주소', '산등', '우도', '포항', '방향', '우측', '영업', '시간', '평일', '휴무', '화요일', '홈페이지', '전복', '해물뚝배기']"
9,9,광주식당 ,한식 한정식전문,33.4545823669883,126.910708881321,큰 아이가 새학년이 되고 학교일정표가 나오던날 월 첫째주 부터 공휴일과 재량휴무일때문에 일동안 학교를 가지 않는다는 걸 알고 난뒤 바로 예약한 박일 제주여행 원래는 나와 아들둘만 떠나려고 했는데 아들 친구 엄마들이 합세하며 아이명 어른명 총 명이 떠나게 되었다 어후지금 생각해도 아찔 어느덧 월이 왔고 우린 하는수 없이 제주로 떠났다 이번 제주여행은 나의 인내심 강화와 아빠없이 제주살이 가능 테스트였다 일정   박일 왕복 항공권  티웨이항공  성인아동 원 렌터카  돌하루팡 예약 엑센트 일 원 고급자차 포함 숙소  일 코델리아호텔 일 금능파리 금,광주식당 한식 한정식전문 큰 아이가 새학년이 되고 학교일정표가 나오던날 월 첫째주 부터 공휴일과 재량휴무일때문에 일동안 학교를 가지 않는다는 걸 알고 난뒤 바로 예약한 박일 제주여행 원래는 나와 아들둘만 떠나려고 했는데 아들 친구 엄마들이 합세하며 아이명 어른명 총 명이 떠나게 되었다 어후지금 생각해도 아찔 어느덧 월이 왔고 우린 하는수 없이 제주로 떠났다 이번 제주여행은 나의 인내심 강화와 아빠없이 제주살이 가능 테스트였다 일정   박일 왕복 항공권  티웨이항공  성인아동 원 렌터카  돌하루팡 예약 엑센트 일 원 고급자차 포함 숙소  일 코델리아호텔 일 금능파리 금,"['광주', '식당', '한식', '한정식', '전문', '아이', '학년', '학교', '정표', '부터', '공휴일', '재량', '휴무', '때문', '동안', '학교', '가지', '난뒤', '바로', '예약', '박일', '여행', '원래', '아들', '아들', '친구', '엄마', '합세', '아이', '어른', '후지', '생각', '어느덧다', '우린', '이번', '여행', '인내심', '강화', '아빠', '살이', '가능', '테스트', '일정', '박일', '왕복', '항공권', '티웨이항공', '성인', '아동', '렌터카', '루팡', '예약', '엑센트', '고급', '포함', '숙소', '델리', '호텔', '금능', '파리']"
